Jetelová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Jižní spojka;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
K Chaloupkám;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
K prádelně;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
K vodě;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Ke skalkám;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Ke Spořilovu;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Mečíková;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Meruňková;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Milínská;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Na Botiči;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Na lávce;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Na Slatince;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Na vinobraní;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Nad Chaloupkami;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Nad Trnkovem;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Ostružinová;0;10000;odd;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Oty Pavla;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Podle náhonu;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Pöslova;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Před Skalkami I;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Před Skalkami II;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Přespolní;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Ryšánkova;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Slívová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Sněženková;0;10000;even;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Střemchová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
U splavu;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
U vinné révy;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
U záběhlického zámku;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
U Zahradního města;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
U zákrutu;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
V Korytech;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
V ochozu;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Ve slatinách;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Vinšova;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Za návsí;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Za potokem;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Za slatinami;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Záběhlická;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Žirovnická;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Benická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Bylanská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Čestlická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Dubečská;1; 9;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Gutova;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Hvozdnická;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
K Rybníčkům;1; 26;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Ke Strašnické;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Kolovratská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Korytná;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Krátká;15;15;even;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Krátká;12;10000;even;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Kruhová;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Krupská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Litochlebská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Malá Bylanská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Molitorovská;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
Mrštíkova;0;10000;all;Základní škola, Praha 10, Gutova 1987/39, příspěvková organizace;Městská část Praha 10
