IZO;Je základní;adresa1;adresa2;adresa3
#102878641;FALSE;Záhoří - Pipice č.p. 33;513 01 Semily
#107586355;FALSE;U Školy 85;511 01 Turnov-Mašov
#102878684;FALSE;U Školy 85;511 01 Turnov-Mašov
#102966222;FALSE;Horní  Rokytnice 467;512 44 Rokytnice nad Jizerou
#118000080;FALSE;Svatopluka Čecha 440;565 01 Choceň
#102930066;FALSE;Kollárova 25;565 01 Choceň
#181093103;FALSE;pozemek p. č. 1752/1 a p. č.1752/6 (k. ú. Ostrov u Macochy);obec Ostrov u Macochy
#102067481;TRUE;Měšťanská 934/23;Brněnské Ivanovice;620 00 Brno-Tuřany
#107603306;FALSE;Jízdárenská 699;664 62 Hrušovany u Brna
#171000684;FALSE;Jízdárenská 699;664 62 Hrušovany u Brna
#107603349;FALSE;Mjr. Nováka 7;664 91 Ivančice
#181030128;FALSE;Mjr. Nováka 7;664 91 Ivančice
#181064634;FALSE;Sentice 71;666 03 Sentice
#102191379;TRUE;Na Bílém potoce 224;664 71 Veverská Bítýška
#102255172;TRUE;Národních hrdinů, parc. č. 4794/1;690 02 Břeclav
#107605724;FALSE;Svatopluka Čecha 516;760 01 Zlín
#103107924;FALSE;Svatopluka Čecha 516;760 01 Zlín
#107606461;FALSE;Sv. Štěpán 38;763 34 Brumov - Bylnice
#103119523;FALSE;Sv. Štěpán 38;763 34 Brumov - Bylnice
#102319171;TRUE;náměstí T. G. Masaryka 1334;761 25 Zlín
#181068265;FALSE;Hlavní 1160;765 02 Otrokovice
#181068257;FALSE;Jana Žižky 1355;765 02 Otrokovice
#181068249;FALSE;Mánesova 908;765 02 Otrokovice
#107609584;FALSE;Kroměřížská 28;768 02 Zdounky
#103207848;FALSE;Kroměřížská 28;768 02 Zdounky
#118800892;FALSE;Pornice 100;768 34 Pačlavice
#173000223;FALSE;Pornice 100;768 34 Pačlavice
#102591491;TRUE;č. p. 656;798 14 Olšany u Prostějova
#102129576;FALSE;Klenovice na Hané 231;798 23
#102655561;TRUE;Masarykovo náměstí 12;674 01 Třebíč
#044065701;FALSE;675 71 Sportovní areál Hájek Náměšť nad Oslavou
#107612615;FALSE;Lůčky 920;687 65 Strání - Květná
#173000517;FALSE;Lůčky 920;687 66 Strání - Květná
#102807469;TRUE;Tyršova 1221/14;683 01 Rousínov
#102843872;TRUE;p.č. st. 77 v k.ú. Lesonice;672 01 Lesonice
#102855773;TRUE;Šanov, Komenského 358;671 68 Hrabětice
#119300206;FALSE;Komenského 241;671 68 Šanov
#107615801;FALSE;Věcov-Roženecké Paseky 1;592 42 Jimramov
#103143602;FALSE;Věcov-Roženecké Paseky 1;592 42 Jimramov
#119400103;FALSE;č.p. 238;592 54 Moravec
#150007256;FALSE;č.p. 238;592 54 Moravec
#119701260;FALSE;Dolany 565;735 34 Stonava
#107624753;FALSE;parc. č. 2676;742 81 Bravantice
#150074301;FALSE;parc. č. 2676;742 81 Bravantice
#181068800;FALSE;Bílá Lhota 56;783 21 Chudobín
#108033635;FALSE;Parcelní číslo  1967/5;785 01 Šternberk
#108033635;FALSE;Parcelní číslo  1967/6;785 01 Šternberk
#120004402;FALSE;Podvihovská 197;747 70 Opava - Komárov
#120201585;FALSE;Tyršova p.č. 633/1 a 633/4;Kojetín I-Město;752 01 Kojetín
#107632586;FALSE;Malá Morava-Vys. Potok 40;788 33 Hanušovice
#120300125;FALSE;Malá Morava-Vys. Potok 40;788 33 Hanušovice
#120400600;FALSE;Semetín 163;755 01 Vsetín
#046414991;FALSE;Otruby;274 01 Slaný
#000582336;FALSE;Jírovcova 64;370 04 České Budějovice
#000582336;FALSE;Nádražní (parcelní číslo 2097/50);370 04 České Budějovice
#000582336;FALSE;Nádražní (parcelní číslo 2097/60);370 04 České Budějovice
#150071493;FALSE;Oldřichov;347 01 Tachov
#110020618;FALSE;Smetanovo nám. 2247;415 02 Teplice
#110029763;FALSE;Červené domky 3702;695 03 Hodonín
#007880103;FALSE;Revoluční;739 11 Frýdlant nad Ostravicí
#102263639;TRUE;Nebahovská 1026;383 01 Prachatice
#110025873;FALSE;k.ú. Královo Pole, p.č. 4173/3;612 00 Brno
#110006828;FALSE;Turkmenská 1612;755 01 Vsetín
#102780447;TRUE;Sychrov 61;755 01 Vsetín
#181066114;FALSE;Tetín 3;796 01 Prostějov
#181064278;FALSE;Nám. Dr. Josefa Theurera 261;261 01 Příbram II
#181064286;FALSE;Nám. Dr. Josefa Theurera 261;261 01 Příbram II
#150004621;FALSE;T.G.Masaryka 27 35;567 02 Svitavy
#150004842;FALSE;Slatiňanská, st.p. 397;538 25 Nasavrky
#150012799;TRUE;594 56 Žďárec 42
#102080038;TRUE;Nebory 165;739 57 Třinec
#107622386;FALSE;739 57 Třinec-Nebory 126
#107626357;FALSE;783 16 Dolany-Véska 64
#107610108;FALSE;Přemyslovice - Štarnov 21;798 52 Konice
#172101328;FALSE;Přemyslovice - Štarnov  21;798 52 Konice
#107560518;FALSE;parcela č. 321/2;471 62 Okna
#181118220;FALSE;parcela č. 312/2/2;471 62 Okna
#107589591;FALSE;Orlické Podhůří - Rviště 24;562 01 Ústí nad Orlicí
#102642273;TRUE;Orlické Podhůří - Říčky 59;562 01 Ústí nad Orlicí
#181022907;FALSE;Orlické Podhůří - Říčky 59;562 01 Ústí nad Orlicí
#102930899;FALSE;Orlické Podhůří - Rviště 24;562 01 Ústí nad Orlicí
#181022915;FALSE;Orlické Podhůří - Říčky 59;562 01 Ústí nad Orlicí
#107542510;FALSE;Soběšice u Sušice 146;342 01 Sušice
#107588935;FALSE;Horská 214;543 02 Vrchlabí
#102918848;FALSE;Horská 214;543 02 Vrchlabí
#174105762;FALSE;739 61 Třinec - Horní Lištná 10
#174106645;FALSE;739 61 Třinec - Lištná 10
#151000263;FALSE;Rudolfov, Hlinsko 49;370 01 České Budějovice
#151000107;FALSE;Blatnice 8, Pojbuky;391 43 Mladá Vožice
#163102775;FALSE;Blatnice 8, Pojbuky;391 43 Mladá Vožice
#060103361;FALSE;Vestec 27;Vestec;537 01 Chrudim
#108008193;FALSE;Vestec 27;Vestec;537 01 Chrudim
#161103006;FALSE;Baarova 1578/29;Michle;140 00 Praha 4
#181102781;FALSE;Baarova 1578/29;Michle;140 00 Praha 4
#181102790;FALSE;Baarova 1578/29;Michle;140 00 Praha 4
#161102778;FALSE;Bermanova 1001/1/1;Čakovice;196 00 Praha 9
#181089882;FALSE;Bermanova 1001/1/1;Čakovice;196 00 Praha 9
#162103514;FALSE;Školní 219;367 29 Zadní Třebáň
#165000341;FALSE;1800 m2 pozemku p. č. 1058/4 (zázemí lesní mateřské školy);360 17 k. ú. Stará Role
#166000132;FALSE;Modrá 169;407 01 Jílové
#181050935;FALSE;Modrá 169;407 01 Jílové
#166000345;FALSE;Krásný Studenec 131;405 02 Děčín XXIV
#166000353;FALSE;Krásný Studenec 131;405 02 Děčín XXIV
#166000370;FALSE;Školní 11;431 11 Červený Hrádek
#166000388;FALSE;Školní 11;431 11 Červený Hrádek
#107581825;FALSE;Tyršova 1505;503 46 Třebechovice pod Orebem
#108007791;FALSE;Tyršova 1505;503 46 Třebechovice pod Orebem
#107589044;FALSE;Voletiny 128;541 03 Trutnov 3
#102918945;FALSE;Voletiny 128;541 03 Trutnov 3
#170000028;FALSE;Křídla 52;592 31 Nové Město na Moravě
#170000303;FALSE;parcelní číslo 3138/2;393 01 Pelhřimov
#102113050;FALSE;Lidická 1286;765 02 Otrokovice
#107625865;FALSE;Kopřivnice-Lubina 199;742 21 Kopřivnice
#107625865;FALSE;Kopřivnice-Mniší 132;742 21 Kopřivnice
#103080996;FALSE;Kopřivnice-Lubina 199;742 21 Kopřivnice
#103080996;FALSE;Kopřivnice-Mniší;742 21 Kopřivnice
#107622807;FALSE;Oldřichovice - Ves 208;739 61 Třinec
#174000995;FALSE;Třinec-Tyra 80;739 61 Třinec-Tyra
#174000995;FALSE;Oldřichovice - Ves 208;739 61 Třinec
#107626128;FALSE;Karla Čapka 6;741 01 Nový Jičín
#103080384;FALSE;Karla Čapka 6;741 01 Nový Jičín
#110005538;FALSE;Komenského;747 21 Kravaře
#108034038;FALSE;osada Klokočůvek;742 36 Jakubčovice n/Odrou
#108036421;FALSE;Přepeřská 210;511 01 Turnov
#108027384;FALSE;Koníkov 11;592 44 Věcov
#002518597;FALSE;A. K. Vitáka 452;569 43 Jevíčko
#181021200;FALSE;Hromnice-Žichlice 124;330 11 Třemošná
#181018853;FALSE;Hromnice-Žichlice 58;330 11 Třemošná
#181018861;FALSE;Hromnice-Žichlice 58;330 11 Třemošná
#181018861;FALSE;Hromnice-Žichlice 124;330 11 Třemošná
#181022524;FALSE;Ke Kapličce, parc. č. 627/4 a 627/5 (lesní mateřská škola);251 68 Sulice - Hlubočinka
#181029383;FALSE;Ke Kapličce, parc. č. 627/4 a 627/5;251 68 Sulice - Hlubočinka
#181067226;FALSE;Náměstí Přemyslovců 15/10;288 02 Nymburk
